('https://www.aldi.co.uk/salted-butter/p/079764180239000', 'Salted Butter', '1.45', '£5.80 per kg')
('https://www.aldi.co.uk/irish-whiskey-cake/p/044724287887201', 'Irish Whiskey Cake', '1.49', '30.4p/29.8p per 100g')
('https://www.aldi.co.uk/lentil-curls-sour-cream-%26-onion/p/084531288028701', 'Lentil Curls Sour Cream & Onion', '0.72', '60p per 100g')
('https://www.aldi.co.uk/thick-cut-ridged-crisp-variety/p/064374288565301', 'Thick Cut Ridged Crisp Variety', '0.75', '41.7p per 100g')
('https://www.aldi.co.uk/10-italian-style-chicken-chipolatas/p/082255200460100', '10 Italian Style Chicken Chipolatas', '1.89', '£5.56 per kg')
('https://www.aldi.co.uk/pork-reduced-fat-sausages/p/010173290118501', 'Pork Reduced Fat Sausages', '1.29', '£3.79 per kg/£2.84 per kg')
('https://www.aldi.co.uk/west-country-butter/p/013317290136100', 'West Country Butter', '1.59', '63.6p per 100g')
('https://www.aldi.co.uk/pepperoni-%26-mozzarella-selection/p/086352285111901', 'Pepperoni & Mozzarella Selection', '1.69', '£1.17/£1.30 per 100g')
('https://www.aldi.co.uk/strawberry-luxury-layered-yogurt/p/011976277934000', 'Strawberry Luxury Layered Yogurt', '1.79', '£3.58 per kg')
('https://www.aldi.co.uk/thick-%26-creamy-apricot-yogurts/p/071457289298101', 'Thick & Creamy Apricot Yogurts', '1.19', '19.8p per 100g')
('https://www.aldi.co.uk/rhubarb-luxury-layered-yogurt/p/011976292457803', 'Rhubarb Luxury Layered Yogurt', '1.79', '£3.58 per kg')
('https://www.aldi.co.uk/icelandic-skyr-yogurt-mango/p/084710292458603', 'Icelandic Skyr Yogurt Mango', '0.99', '58.2p per 100g')
('https://www.aldi.co.uk/10-chicken-chipolatas-italian-style/p/082255293040200', '10 Chicken Chipolatas Italian Style', '1.89', '£5.56 per kg')
('https://www.aldi.co.uk/6-pack-prawn-cocktail-potato-crisps/p/047801294031901', '6 Pack Prawn Cocktail Potato Crisps', '0.65', '43.3p per 100g')
('https://www.aldi.co.uk/nature%27s-pick-parsnips-500g/p/010082294374100', "Nature's Pick Parsnips 500g", '0.42', '84.0p per kg')
('https://www.aldi.co.uk/meatballs-in-a-rich-tomato-sauce/p/057144296927701', 'Meatballs In A Rich Tomato Sauce', '0.54', '14.2p per 100g')
('https://www.aldi.co.uk/ladies%27%27-roll-neck-top/p/018429297164300', "Ladies'' Roll Neck Top", '6.99', '')
('https://www.aldi.co.uk/golden-syrup/p/080718297747500', 'Golden Syrup', '1.99', '21.9p per 100g')
('https://www.aldi.co.uk/ready-salted-potato-crisps/p/064268297753100', 'Ready Salted Potato Crisps', '0.55', '36.7p per 100g')
('https://www.aldi.co.uk/italian-mozzarella/p/060668006055200', 'Italian Mozzarella', '0.45', '£3.60 per kg')
('https://www.aldi.co.uk/british-medium-cheddar/p/079452177618600', 'British Medium Cheddar', '1.79', '£4.48 per kg')
('https://www.aldi.co.uk/9-garlic-slices/p/080777188574600', '9 Garlic Slices', '0.79', '£2.72 per kg')
('https://www.aldi.co.uk/mature-white-cheddar/p/017623280982600', 'Mature White Cheddar', '3.99', '£4.43 per kg')
('https://www.aldi.co.uk/onion-%26-chive-cottage-cheese/p/010986278082400', 'Onion & Chive Cottage Cheese', '0.64', '£2.13 per kg')
('https://www.aldi.co.uk/fat-free-cottage-cheese/p/010986288103902', 'Fat Free Cottage Cheese', '0.64', '£2.13 per kg')
('https://www.aldi.co.uk/mini-roul%C3%A9-with-garlic-%26-herb/p/072200295947402', 'Mini Roulé With Garlic & Herb', '0.89', '£8.90 per kg')
('https://www.aldi.co.uk/mini-roul%C3%A9-with-tomato-%26-basil/p/072200295947603', 'Mini Roulé With Tomato & Basil', '0.89', '£8.90 per kg')
