('https://www.aldi.co.uk/adventuridge-folding-bowl/p/081316201010500', 'Vegetable Medley', '0.79', 'No weight data')
('https://www.aldi.co.uk/infants-blue-sherpa-fleece-suit/p/079293192544100', 'Contevedo Cava Brut Gold', '5.29', 'No weight data')
('https://www.aldi.co.uk/infants-blue-sherpa-fleece-suit/p/079293192543200', 'Tex Mex Dip Selection', '1.75', 'No weight data')
('https://www.aldi.co.uk/shower-resistant-dog-coat/p/007518269168100', 'Shower Resistant Dog Coat', '4.99', 'No weight data')
('https://www.aldi.co.uk/shower-resistant-dog-coat/p/007518269220900', 'Shower Resistant Dog Coat', '4.99', 'No weight data')
('https://www.aldi.co.uk/shower-resistant-dog-coat/p/007518269188200', 'Shower Resistant Dog Coat', '4.99', 'No weight data')
('https://www.aldi.co.uk/inoc-ladies%27-ski-pro-3-in-1-jacket/p/085932265544100', "Inoc Ladies' Ski Pro 3-In-1 Jacket", '29.99', 'No weight data')
('https://www.aldi.co.uk/inoc-ladies%27-ski-pro-3-in-1-jacket/p/085932265544400', "Inoc Ladies' Ski Pro 3-In-1 Jacket", '29.99', 'No weight data')
('https://www.aldi.co.uk/inoc-ladies%27-ski-pro-3-in-1-jacket/p/085932265544700', "Inoc Ladies' Ski Pro 3-In-1 Jacket", '29.99', 'No weight data')
('https://www.aldi.co.uk/inoc-ladies%27-ski-pro-3-in-1-jacket/p/085932265545000', "Inoc Ladies' Ski Pro 3-In-1 Jacket", '29.99', 'No weight data')
('https://www.aldi.co.uk/inoc-men%27s-pro-snow-sports-jacket/p/085691265658900', "Inoc Men's Pro Snow Sports Jacket", '9.99', 'No weight data')
('https://www.aldi.co.uk/inoc-men%27s-pro-snow-sports-jacket/p/085691265659200', "Inoc Men's Pro Snow Sports Jacket", '9.99', 'No weight data')
('https://www.aldi.co.uk/inoc-men%27s-pro-snow-sports-jacket/p/085691265659500', "Inoc Men's Pro Snow Sports Jacket", '9.99', 'No weight data')
('https://www.aldi.co.uk/ladies%27%27-roll-neck-top/p/018429316588900', "Ladies'' Roll Neck Top", '6.99', 'No weight data')
('https://www.aldi.co.uk/ladies%27%27-roll-neck-top/p/018429316589100', "Ladies'' Roll Neck Top", '6.99', 'No weight data')
('https://www.aldi.co.uk/ladies%27%27-roll-neck-top/p/018429316589300', "Ladies'' Roll Neck Top", '6.99', 'No weight data')
('https://www.aldi.co.uk/boy%27s-winter-boot-tan/p/019173315063700', "Boy's Winter Boot Tan", '5.99', 'No weight data')
('https://www.aldi.co.uk/boy%27s-winter-boot-tan/p/019173315063900', "Boy's Winter Boot Tan", '5.99', 'No weight data')
('https://www.aldi.co.uk/boy%27s-winter-boot-tan/p/019173315064100', "Boy's Winter Boot Tan", '5.99', 'No weight data')
('https://www.aldi.co.uk/boy%27s-winter-boot-tan/p/019173315064300', "Boy's Winter Boot Tan", '5.99', 'No weight data')
('https://www.aldi.co.uk/boy%27s-winter-boot-tan/p/019173315064700', "Boy's Winter Boot Tan", '5.99', 'No weight data')
('https://www.aldi.co.uk/boy%27s-winter-boot-tan/p/019173315064500', "Boy's Winter Boot Tan", '5.99', 'No weight data')
('https://www.aldi.co.uk/men%27s-puma-tsugi-reflective-trainer/p/020864300329900', "Men's Puma Tsugi Reflective Trainer", '40.00', 'No weight data')
('https://www.aldi.co.uk/men%27s-puma-tsugi-reflective-trainer/p/020864300328100', "Men's Puma Tsugi Reflective Trainer", '40.00', 'No weight data')
('https://www.aldi.co.uk/men%27s-puma-tsugi-reflective-trainer/p/020864300328300', "Men's Puma Tsugi Reflective Trainer", '40.00', 'No weight data')
('https://www.aldi.co.uk/men%27s-puma-tsugi-reflective-trainer/p/020864300328500', "Men's Puma Tsugi Reflective Trainer", '40.00', 'No weight data')
('https://www.aldi.co.uk/men%27s-puma-tsugi-reflective-trainer/p/020864300328700', "Men's Puma Tsugi Reflective Trainer", '40.00', 'No weight data')
('https://www.aldi.co.uk/men%27s-puma-tsugi-reflective-trainer/p/020864300329100', "Men's Puma Tsugi Reflective Trainer", '40.00', 'No weight data')
('https://www.aldi.co.uk/ladies-adidas-shadow-trainer/p/020871300326900', 'Ladies Adidas Shadow Trainer', '40.00', 'No weight data')
